date,appart1,appart0,appart2,maison1,maison0,maison2
2017-01-01,7985.504755494168,3508.74201958445,12228.471696350953,5871.347436771081,2960.1288710822087,12036.506261866973
2017-02-01,7934.783909340954,3511.4774614724,11331.16438892924,5865.2629294149565,2983.530317792927,11886.049420689937
2017-03-01,7989.149384893642,3546.311853794229,11791.480197583533,5772.961818598958,3004.0676050635016,13441.062734833977
2017-04-01,8170.925842995672,3587.375438028425,13059.7958513747,5844.205181910757,3013.0377805938538,10519.318973315903
2017-05-01,8470.701735348848,4007.0910813928535,12677.787607411194,5940.60816052303,2964.332881889424,13343.196143323605
2017-06-01,8073.890764655917,3594.889995589961,12462.767011915495,6138.5132084631405,3043.9530097252127,11396.362074206208
2017-07-01,8308.541918255307,3787.885088462973,13099.875053002106,6101.587750376357,3063.3773712095344,11734.143291889332
2017-08-01,8351.545487537027,3604.724547009733,12323.553489833048,6172.099924612986,3061.103952116492,11242.34680473839
2017-09-01,8299.732235586986,3689.816921055124,12677.3564281844,6126.528007111335,3059.0951382256376,13013.60847739702
2017-10-01,8349.85699980054,3714.6432211564606,12736.097214276968,6047.351910917623,3058.1936601821176,11291.99812836461
2017-11-01,8334.24583959093,3759.2968487283792,12589.630543155445,5839.610454676015,3008.7625730061145,13910.835579846753
2017-12-01,8374.056606340506,3898.5999466272656,12987.350790096463,5955.032776312606,3012.51219011008,13815.865143588711
2018-01-01,8453.686555061298,3707.6703164134974,12520.786855481558,6146.715522267768,3005.5663847175088,11476.643262032463
2018-02-01,8420.928295440384,3681.5298353429766,13058.379449438113,6110.33827439484,3003.904655703165,12167.622477441322
2018-03-01,8440.718428366868,3738.478816498453,13427.175170673405,6237.346058283842,3056.408030945488,11821.761606170336
2018-04-01,8511.705086843695,3692.864771600784,13333.687726925506,6195.525977504499,3054.786748622488,10872.59572111104
2018-05-01,8592.822100587244,3725.680575419207,13617.379464882566,6351.735116426578,3072.670156532866,10646.412643748914
2018-06-01,8646.113788662902,3759.988867162251,12654.219716570882,6456.468457816036,3087.4914745078745,12349.218866194342
2018-07-01,8841.403420826295,3765.148422124285,13486.492622704607,6516.61260468025,3144.129338122832,12731.322079898153
2018-08-01,8677.316082250083,3725.299921223577,13643.234997289032,6361.803285666593,3128.263029881457,11079.702536866876
2018-09-01,8861.874004689429,3769.959906848578,14606.470520674317,6336.594190552365,3125.684196580699,13310.202722469685
2018-10-01,8804.415882733865,3853.865140518617,14370.003055997337,6518.419461846754,3115.882670316371,13438.700647857131
2018-11-01,8743.973736744445,3570.8453041767752,13301.574670013577,6553.966375866771,3102.241232066841,11775.267266960136
2018-12-01,8669.95121548517,4249.748245006586,16198.204128482395,6458.781019903394,3056.9135000184933,12367.260829645633
2019-01-01,8845.313420500717,3840.18571010986,14239.140549894615,6479.997062937589,3095.450335328574,14458.03158843271
2019-02-01,9021.160459740791,3844.843477544522,12881.5817151314,6326.58987347131,3108.9765136232195,12054.616386045329
2019-03-01,8913.1224598847,3809.118809536319,13600.93785885242,6399.636805883146,3102.41839308145,12549.19367794723
2019-04-01,8952.791723764389,3834.0611173891457,13641.091697035745,6597.433117972319,3083.0023863784995,12952.793884735842
2019-05-01,8992.469512844598,3754.115774791992,13789.052888993638,6464.78122984803,3089.844253799504,10618.488066289445
2019-06-01,9144.64538133601,3820.573701812714,14375.09520670928,6514.020237362873,3149.675636691238,15194.160143556552
2019-07-01,9246.20361036588,3977.964419165056,14250.710084765286,6623.777158391898,3170.5811586553896,14560.003352700647
2019-08-01,9237.849545040068,3804.3518199136033,13737.731743678138,6642.040535991969,3167.018642839524,11884.462484327045
2019-09-01,9364.262065612807,3925.698285125632,14334.644764583049,6712.712142965073,3200.251755205296,14990.947310602693
2019-10-01,9328.99191700132,3934.2787208127047,14202.038957062668,6739.961253087861,3170.1546462321894,13421.341440972865
2019-11-01,9374.880599336268,4026.4042017500383,13373.873225708534,6528.491919556251,3160.861541665504,12990.338028155516
2019-12-01,9471.6844758743,3926.817529081456,13688.514696291804,6778.940536779895,3173.566309392695,13594.550006012796
2020-01-01,9381.67131555532,3904.50471682686,14555.404460054897,6659.724539066467,3185.411735399984,13718.818727565422
2020-02-01,9523.366903528624,3915.651638143479,14544.523693278652,6715.957972972437,3165.7177286384194,15704.095618011896
2020-03-01,9625.671888220855,3487.073708067213,15228.51767020509,6816.650173191939,3177.579800493815,13256.040030169588
2020-04-01,9798.430434191949,3949.609308798688,14549.556461874774,6688.882691093686,3226.250605599925,13337.518210086106
2020-05-01,9700.404301721688,3937.690239418733,15287.597022665132,6617.550000100515,3208.2151620773725,14473.6855068684
2020-06-01,9569.515223826334,3941.792649855369,14858.620818977644,6860.403402515234,3232.570619822613,15858.07444141809
2020-07-01,9725.806563627017,3954.7033112875592,14844.460608352854,6854.588382022075,3287.104986151759,13929.027527574215
2020-08-01,9615.31630259563,3953.802177728648,13286.616894912904,6716.032887502991,3252.4501091637867,12475.378636252137
2020-09-01,9707.108395633108,3973.97708030696,14789.863053744642,6885.140047297882,3297.637986417805,13404.712238629145
2020-10-01,9796.559230802108,4028.7504985826986,14558.654049334653,7112.909394027162,3315.249466299328,13788.828018311571
2020-11-01,9766.742034979176,3998.652569729413,15240.12181273118,7196.920530205004,3313.0535180159072,13015.398674601523
2020-12-01,9661.819118738891,3977.508413692497,14048.18468093229,6915.8788482980335,3282.441974520925,15296.757069612922
2021-01-01,9828.719222551814,3984.630410081732,15500.657063514898,7152.350754718928,3342.191391733852,13638.89063638754
2021-02-01,9672.324699680328,3982.703517865661,14914.5963649443,6937.4281440320965,3273.350774568145,12501.998478541229
2021-03-01,9777.680590121796,4007.545693198044,14926.030123316354,7030.581868106244,3360.8584378461587,17909.760429905895
2021-04-01,9774.273527277071,3973.64323301344,14179.737522186124,7022.166136765984,3271.225097122368,15051.135434468782
2021-05-01,9748.73708254452,4008.534427224084,14765.490068946589,7316.409019729586,3318.302456168463,14008.68426933996
2021-06-01,9871.839093995928,4065.648316834728,20799.707143219493,7140.000964023603,3400.19184982061,15528.158039446063
2021-07-01,9926.07945215658,4153.491665752478,14693.912449531315,7332.065991241967,3493.560133155734,15570.682015611448
2021-08-01,9837.470478183506,4049.489149971267,14252.90191782957,7344.226051817657,3499.851266597121,15720.378998887958
2021-09-01,10117.366060573662,4135.813252813492,15116.384085654168,7431.929569820815,3470.5204790087537,15087.1451625785
2021-10-01,10079.916591218169,4184.944723633022,14123.569037595827,7474.709221966201,3461.4170870115336,14985.681642500303
2021-11-01,10073.17969522449,3958.0467804068408,14341.461514091336,7442.910119162304,3394.756756968513,14278.138527257614
2021-12-01,10000.398169133088,3948.214143329979,15036.609252167458,7466.763131153539,3398.0543075629457,14350.602458437916
