,type_vente,code_departement,code_commune,prix_vente,nb_pieces,nb_chambres,sbien_m²,sterrain_m²,prix_m²,taxe_fonciere,cuisine_equipee,chauffage_collectif,sejour_cuisine,salle_equipee,ascenseur,cave,chauffage,vitrage,parking,baignoire,balcon,jardin,garage,dressing,approximite_metro,bureau,terrasse
0,1,93,93057,359000,4,2,75,222,4787,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,75,75056,750000,3,2,73,0,10274,1155,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0
2,1,92,92050,550000,3,2,80,209,6875,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3,0,75,75056,518000,2,1,44,0,0,511,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0
4,0,94,94002,260000,2,1,43,0,6047,-1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0
5,0,94,94080,545000,3,2,55,0,9909,1167,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0
6,0,92,92019,329000,3,2,56,0,5875,-1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0
7,0,75,75056,610000,2,1,51,0,11961,-1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
8,0,92,92012,750000,3,2,83,0,9036,-1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0
9,1,92,92007,650000,5,3,122,160,5328,1325,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1
10,0,94,94052,200000,2,1,29,0,6897,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,0,75,75056,600000,2,1,52,0,11538,-1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
12,0,92,92024,295000,3,2,39,0,7564,270,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
13,0,93,93048,380000,5,3,100,0,3800,-1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0
14,0,92,92026,348000,3,2,50,0,6960,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
15,0,92,92064,547000,2,1,64,0,0,-1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1
16,0,92,92072,400000,3,2,65,0,6154,-1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
17,0,75,75056,750000,2,1,41,0,18293,-1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
18,1,78,78164,1160000,10,6,300,30,3867,-1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
19,0,92,92073,660000,4,3,94,0,0,20221,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
20,0,94,94074,130000,2,1,40,0,3250,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,0,75,75056,680000,2,1,47,0,0,800,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1
22,1,78,78490,475000,5,4,140,533,3393,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
23,0,75,75056,1110000,4,2,99,0,11212,1800,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
24,0,75,75056,840000,4,3,83,0,0,-1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0
25,0,94,94068,1580000,6,4,200,0,7900,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
26,0,92,92025,350000,3,2,57,0,6140,-1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0
27,0,75,75056,115000,0,0,10,0,0,-1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
28,0,92,92064,410000,3,2,66,0,6212,2022876,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
29,1,91,91479,610000,6,4,180,380,3389,-1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
30,0,92,92044,740000,4,3,76,0,9737,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
31,0,94,94080,570000,3,2,72,0,7917,1582,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0
32,0,78,78481,375000,4,2,74,0,5068,-1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
33,0,75,75056,965000,3,2,78,0,12372,780,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
34,0,75,75056,100000,0,0,10,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,0,92,92040,328000,2,1,42,0,7810,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,0,75,75056,570000,3,2,69,0,8261,-1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
37,1,94,94055,614900,7,4,160,465,0,-1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
38,0,91,91174,129500,2,1,43,0,3012,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
39,0,92,92062,770000,3,2,86,0,8953,-1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0
40,1,78,78431,650000,7,4,176,384,3693,-1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1
41,0,92,92012,679000,3,2,68,0,9985,-1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0
42,1,77,77186,660000,5,4,97,127,6804,1568,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
43,0,75,75056,805000,2,1,71,0,11338,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,0,78,78646,540000,4,3,94,0,5745,-1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0
45,1,91,91589,481000,6,4,135,346,3563,-1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
46,1,78,78053,485000,7,5,190,814,2553,-1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1
47,0,92,92073,772000,5,3,105,0,7352,1762,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0
48,1,93,93014,445000,6,4,130,560,3423,-1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
49,0,78,78372,229000,4,2,68,0,3368,-1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1
50,1,91,91017,420000,6,5,123,430,3415,-1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
51,0,75,75056,345000,2,1,32,0,10781,510,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0
52,0,92,92012,515000,3,2,56,0,9196,-1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0
53,1,92,92064,1150000,5,3,134,15,8582,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
54,0,94,94080,890000,4,3,95,0,9368,-1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
55,0,92,92012,1550000,6,4,150,0,10333,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
56,0,75,75056,548500,2,1,50,0,10970,-1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0
57,1,78,78172,698000,8,4,225,848,3102,3140,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
58,0,75,75056,650000,2,1,58,0,0,-1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
59,0,92,92024,885000,5,4,108,0,8194,1600,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
60,0,92,92022,455000,3,2,70,0,6500,-1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0
61,0,94,94076,545000,4,3,89,0,0,-1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0
62,0,91,91103,185000,4,3,60,0,3083,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,0,92,92035,599000,4,2,76,0,7882,968,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0
64,0,94,94067,400000,2,1,43,0,9302,-1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
65,0,75,75056,850000,3,1,60,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
66,0,75,75056,210000,0,0,13,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
67,0,92,92062,995000,6,4,130,0,7654,791,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0
68,0,78,78311,270000,3,2,70,0,3857,-1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
69,0,75,75056,995000,4,3,95,0,10474,1450,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
70,0,93,93048,460000,3,2,70,0,6571,-1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0
71,1,95,95563,619000,5,4,132,404,4689,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1
72,0,75,75056,94500,0,0,9,0,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
73,1,78,78261,298000,6,4,133,419,2241,-1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1
74,0,78,78686,338000,2,1,46,0,7348,-1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
75,0,93,93001,390000,4,3,79,0,4937,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
76,0,94,94011,205000,2,1,42,0,4881,-1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0
77,0,94,94080,510000,3,2,60,0,8500,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
78,1,94,94017,750000,4,2,90,469,0,-1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1
79,1,92,92012,3790000,12,6,447,376,8479,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
80,0,75,75056,548500,2,1,50,0,10970,-1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0
81,0,93,93061,595000,3,2,70,0,8500,1584,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
82,0,75,75056,125000,0,0,11,0,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
83,0,75,75056,430000,2,1,29,0,14828,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,0,75,75056,128000,0,0,9,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,0,75,75056,1190000,4,2,86,0,13837,-1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
86,0,75,75056,490000,2,1,47,0,10426,-1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
87,1,93,93029,490000,9,7,286,240,1713,-1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1
88,0,94,94016,159000,0,0,27,0,5889,-1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
89,1,78,78048,455000,6,5,140,565,3250,1150,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1
90,0,75,75056,429000,2,1,42,0,10214,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
91,0,75,75056,1185000,4,2,95,0,0,-1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1
92,0,93,93048,799000,5,3,108,0,7398,1924,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0
93,1,92,92002,1390000,7,5,140,240,9929,-1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1
94,0,94,94052,480000,3,2,59,0,8136,-1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
95,0,94,94034,259000,4,2,64,0,4047,-1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
96,0,75,75056,965000,2,1,69,0,13986,-1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
97,0,75,75056,191000,0,0,20,0,9550,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
98,0,75,75056,957000,4,2,74,0,12932,1091,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0
99,0,78,78146,675000,4,3,99,0,6818,-1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
100,0,92,92044,1120000,5,3,101,0,11089,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
101,0,94,94034,269000,3,2,68,0,3956,1570,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
102,0,94,94001,198000,4,3,74,0,2676,1200,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
103,1,93,93029,490000,9,7,286,240,1713,-1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1
104,0,94,94081,350000,4,3,86,0,0,1479,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0
105,0,75,75056,695000,3,2,68,0,10221,-1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
106,1,78,78350,1550000,8,5,226,1,6858,-1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0
107,1,91,91589,460000,6,4,180,715,2556,-1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0
108,0,92,92012,143000,0,0,10,0,14300,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,1,93,93033,645000,6,4,145,480,4448,-1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0
110,0,94,94069,399000,3,2,57,0,7000,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
111,0,75,75056,550000,3,2,61,0,9016,2021932,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1
112,0,75,75056,274000,0,0,23,0,11913,250,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
113,1,93,93057,530000,7,6,180,470,2944,1680,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
114,1,94,94058,850000,7,6,170,100,5000,-1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1
115,1,93,93014,485000,6,5,229,389,2118,1867,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1
116,0,92,92022,340000,4,3,63,0,5397,-1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
117,0,75,75056,360000,0,0,35,0,0,-1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
118,0,93,93008,150000,0,0,35,0,4286,650,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
119,1,95,95014,550000,7,5,162,1,3395,1184,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
120,1,78,78650,670000,4,3,75,99,0,-1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
121,0,94,94017,395000,4,2,75,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
122,0,75,75056,425000,2,1,33,0,12879,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
123,1,91,91435,374000,5,3,100,136,3740,-1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
124,0,91,91377,390000,4,3,90,0,4333,-1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
125,1,92,92063,1345000,8,5,182,536,7390,-1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
126,0,95,95074,216000,3,0,60,0,0,1278,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
127,1,91,91064,660000,6,5,117,296,0,-1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1
128,0,93,93072,255000,4,3,78,0,0,-1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
